,Model Name,Noise level,Accuracy,STD,Set,b
257,NeighborHoodClassifier,0.45,0.5408,0.0777544854011651,Test,0.25
258,AdaBoostClassifier,0.45,0.6408,0.020614557962760217,Train,0.25
259,AdaBoostClassifier,0.45,0.5128,0.030792206806268346,Test,0.25
260,NeighborHoodClassifier,0.45,0.7352000000000001,0.18323580436148393,Train,0.5
261,NeighborHoodClassifier,0.45,0.49800000000000005,0.032149650075856205,Test,0.5
262,AdaBoostClassifier,0.45,0.6144000000000001,0.031097266760922882,Train,0.5
263,AdaBoostClassifier,0.45,0.5204000000000001,0.04622380339175909,Test,0.5
264,NeighborHoodClassifier,0.45,0.8635999999999999,0.15732463252777681,Train,1.0
265,NeighborHoodClassifier,0.45,0.484,0.026683328128252665,Test,1.0
266,AdaBoostClassifier,0.45,0.5963999999999999,0.03262882161525298,Train,1.0
267,AdaBoostClassifier,0.45,0.5504,0.07974358908401352,Test,1.0
268,NeighborHoodClassifier,0.45,0.9339999999999999,0.05461135413080323,Train,1.5
269,NeighborHoodClassifier,0.45,0.5392,0.05197845707598486,Test,1.5
270,AdaBoostClassifier,0.45,0.6092000000000001,0.04086269692519083,Train,1.5
271,AdaBoostClassifier,0.45,0.5484,0.09862575728479858,Test,1.5
272,NeighborHoodClassifier,0.45,0.7747999999999999,0.16826930795602627,Train,2.0
273,NeighborHoodClassifier,0.45,0.5968,0.09126313604079139,Test,2.0
274,AdaBoostClassifier,0.45,0.6128,0.022859571299567297,Train,2.0
275,AdaBoostClassifier,0.45,0.596,0.09197390934390035,Test,2.0
276,NeighborHoodClassifier,0.45,0.8024000000000001,0.1992722760446119,Train,2.5
277,NeighborHoodClassifier,0.45,0.4968,0.02480645077394187,Test,2.5
278,AdaBoostClassifier,0.45,0.6288,0.0378121673539087,Train,2.5
279,AdaBoostClassifier,0.45,0.5408,0.03299939393382854,Test,2.5
280,NeighborHoodClassifier,0.45,0.6571999999999999,0.17287498373101878,Train,3.0
281,NeighborHoodClassifier,0.45,0.5443999999999999,0.1159820675794323,Test,3.0
282,AdaBoostClassifier,0.45,0.5863999999999999,0.03458091959448158,Train,3.0
283,AdaBoostClassifier,0.45,0.5584,0.10773597356500754,Test,3.0
284,NeighborHoodClassifier,0.45,0.8028000000000001,0.20092824589887806,Train,4.0
285,NeighborHoodClassifier,0.45,0.49119999999999997,0.02358304475677388,Test,4.0
286,AdaBoostClassifier,0.45,0.602,0.0413376341848442,Train,4.0
287,AdaBoostClassifier,0.45,0.5075999999999999,0.03531345352694917,Test,4.0
288,NeighborHoodClassifier,0.46,0.5940000000000001,0.03867815921162744,Train,0.25
289,NeighborHoodClassifier,0.46,0.48440000000000005,0.011757550765359247,Test,0.25
290,AdaBoostClassifier,0.46,0.6092000000000001,0.04371910337598428,Train,0.25
291,AdaBoostClassifier,0.46,0.4936,0.0459112186725641,Test,0.25
292,NeighborHoodClassifier,0.46,0.7200000000000001,0.19001052602421792,Train,0.5
293,NeighborHoodClassifier,0.46,0.5092,0.04312957222138888,Test,0.5
294,AdaBoostClassifier,0.46,0.5936,0.039847710097319265,Train,0.5
295,AdaBoostClassifier,0.46,0.5208,0.035902089075706994,Test,0.5
296,NeighborHoodClassifier,0.46,0.86,0.15608715514096605,Train,1.0
297,NeighborHoodClassifier,0.46,0.5052,0.02600307674103202,Test,1.0
298,AdaBoostClassifier,0.46,0.608,0.04407266726668582,Train,1.0
299,AdaBoostClassifier,0.46,0.5336000000000001,0.05965769020000689,Test,1.0
300,NeighborHoodClassifier,0.46,0.7836000000000001,0.18439262458135358,Train,1.5
301,NeighborHoodClassifier,0.46,0.49000000000000005,0.053126264690828776,Test,1.5
302,AdaBoostClassifier,0.46,0.5924,0.045561387160621,Train,1.5
303,AdaBoostClassifier,0.46,0.5075999999999999,0.05022190757030242,Test,1.5
304,NeighborHoodClassifier,0.46,0.7252,0.18214104424868108,Train,2.0
305,NeighborHoodClassifier,0.46,0.5147999999999999,0.027614488950549153,Test,2.0
306,AdaBoostClassifier,0.46,0.6095999999999999,0.03476550014022525,Train,2.0
307,AdaBoostClassifier,0.46,0.5204000000000001,0.02033322404342215,Test,2.0
308,NeighborHoodClassifier,0.46,0.8928,0.16423203098056116,Train,2.5
309,NeighborHoodClassifier,0.46,0.5008000000000001,0.025537423519219813,Test,2.5
310,AdaBoostClassifier,0.46,0.6055999999999999,0.027896953238660333,Train,2.5
311,AdaBoostClassifier,0.46,0.5207999999999999,0.040646771089472775,Test,2.5
312,NeighborHoodClassifier,0.46,0.6948,0.16423690206527888,Train,3.0
313,NeighborHoodClassifier,0.46,0.5128,0.03381360672865287,Test,3.0
314,AdaBoostClassifier,0.46,0.6088,0.03097353709216953,Train,3.0
315,AdaBoostClassifier,0.46,0.5364,0.06437887852393827,Test,3.0
316,NeighborHoodClassifier,0.46,0.9732,0.0536,Train,4.0
317,NeighborHoodClassifier,0.46,0.5052000000000001,0.015727682601070013,Test,4.0
318,AdaBoostClassifier,0.46,0.5948,0.04540660744869627,Train,4.0
319,AdaBoostClassifier,0.46,0.4948,0.01732512626216617,Test,4.0
320,NeighborHoodClassifier,0.47,0.5628,0.02615645235883488,Train,0.25
321,NeighborHoodClassifier,0.47,0.4936,0.04398908955638885,Test,0.25
322,AdaBoostClassifier,0.47,0.6204000000000001,0.04665447459783467,Train,0.25
323,AdaBoostClassifier,0.47,0.5256000000000001,0.026027677575995892,Test,0.25
324,NeighborHoodClassifier,0.47,0.6092000000000001,0.07022933859862272,Train,0.5
325,NeighborHoodClassifier,0.47,0.47919999999999996,0.005153639490690055,Test,0.5
326,AdaBoostClassifier,0.47,0.6184,0.01877871135088882,Train,0.5
327,AdaBoostClassifier,0.47,0.48919999999999997,0.03032094985319557,Test,0.5
328,NeighborHoodClassifier,0.47,0.8404,0.1408113631778345,Train,1.0
329,NeighborHoodClassifier,0.47,0.562,0.07450100670460766,Test,1.0
330,AdaBoostClassifier,0.47,0.618,0.03131772660970144,Train,1.0
331,AdaBoostClassifier,0.47,0.5479999999999999,0.07507862545358697,Test,1.0
332,NeighborHoodClassifier,0.47,0.9568,0.055793906477320625,Train,1.5
333,NeighborHoodClassifier,0.47,0.5092,0.011142710621747305,Test,1.5
334,AdaBoostClassifier,0.47,0.6220000000000001,0.026532998322843223,Train,1.5
