,Model Name,Noise level,Accuracy,STD,Set,b
296,NeighborHoodClassifier,0.46,0.9272,0.08950173182681996,Train,1.0
297,NeighborHoodClassifier,0.46,0.6304000000000001,0.07424715482764305,Test,1.0
298,AdaBoostClassifier,0.46,0.5636,0.01772681584492824,Train,1.0
299,AdaBoostClassifier,0.46,0.5791999999999999,0.17062051459305821,Test,1.0
300,NeighborHoodClassifier,0.46,0.8808,0.09266369299785109,Train,1.5
301,NeighborHoodClassifier,0.46,0.5852,0.06578267249055789,Test,1.5
302,AdaBoostClassifier,0.46,0.5608000000000001,0.039366991249014695,Train,1.5
303,AdaBoostClassifier,0.46,0.6156,0.0634148247651919,Test,1.5
304,NeighborHoodClassifier,0.46,0.9179999999999999,0.09825680638001624,Train,2.0
305,NeighborHoodClassifier,0.46,0.5584000000000001,0.00879999999999997,Test,2.0
306,AdaBoostClassifier,0.46,0.6032,0.020960916010518263,Train,2.0
307,AdaBoostClassifier,0.46,0.632,0.035754719968138504,Test,2.0
308,NeighborHoodClassifier,0.46,0.9228,0.09682644266934523,Train,2.5
309,NeighborHoodClassifier,0.46,0.572,0.030646370095004715,Test,2.5
310,AdaBoostClassifier,0.46,0.5851999999999999,0.016079800993793397,Train,2.5
311,AdaBoostClassifier,0.46,0.714,0.0717439892952713,Test,2.5
312,NeighborHoodClassifier,0.46,0.8576,0.07489085391421305,Train,3.0
313,NeighborHoodClassifier,0.46,0.5168,0.043092458736999434,Test,3.0
314,AdaBoostClassifier,0.46,0.57,0.0172973986483517,Train,3.0
315,AdaBoostClassifier,0.46,0.65,0.0755036422962495,Test,3.0
316,NeighborHoodClassifier,0.46,0.8632,0.07624801636764068,Train,4.0
317,NeighborHoodClassifier,0.46,0.5352,0.004308131845707607,Test,4.0
318,AdaBoostClassifier,0.46,0.5692,0.02122639865827454,Train,4.0
319,AdaBoostClassifier,0.46,0.7096,0.0979338552289248,Test,4.0
320,NeighborHoodClassifier,0.47,0.5812000000000002,0.055275310944399005,Train,0.25
321,NeighborHoodClassifier,0.47,0.7044,0.10983915513149214,Test,0.25
322,AdaBoostClassifier,0.47,0.576,0.020707486568871645,Train,0.25
323,AdaBoostClassifier,0.47,0.6864000000000001,0.11560207610592464,Test,0.25
324,NeighborHoodClassifier,0.47,0.6967999999999999,0.12103288809245197,Train,0.5
325,NeighborHoodClassifier,0.47,0.5276000000000001,0.13581988072443593,Test,0.5
326,AdaBoostClassifier,0.47,0.5708,0.036278919498794325,Train,0.5
327,AdaBoostClassifier,0.47,0.4548,0.1184,Test,0.5
328,NeighborHoodClassifier,0.47,0.8924,0.09095405433514218,Train,1.0
329,NeighborHoodClassifier,0.47,0.5715999999999999,0.04042573437799244,Test,1.0
330,AdaBoostClassifier,0.47,0.5684000000000001,0.04582401117318298,Train,1.0
331,AdaBoostClassifier,0.47,0.534,0.07539761269430222,Test,1.0
332,NeighborHoodClassifier,0.47,0.9204000000000001,0.09897393596295946,Train,1.5
333,NeighborHoodClassifier,0.47,0.5968,0.0465205331009867,Test,1.5
334,AdaBoostClassifier,0.47,0.5788,0.019456618411224466,Train,1.5
335,AdaBoostClassifier,0.47,0.7535999999999999,0.06214048599745578,Test,1.5
336,NeighborHoodClassifier,0.47,0.8452,0.0797556267607496,Train,2.0
337,NeighborHoodClassifier,0.47,0.5212,0.017092688495377213,Test,2.0
338,AdaBoostClassifier,0.47,0.57,0.028255972819918963,Train,2.0
339,AdaBoostClassifier,0.47,0.7236,0.0978930028142972,Test,2.0
340,NeighborHoodClassifier,0.47,0.906,0.08134863244087143,Train,2.5
341,NeighborHoodClassifier,0.47,0.5284000000000001,0.021592591322025265,Test,2.5
342,AdaBoostClassifier,0.47,0.6004,0.03492620792470891,Train,2.5
343,AdaBoostClassifier,0.47,0.6632,0.04190656273186813,Test,2.5
344,NeighborHoodClassifier,0.47,0.9768000000000001,0.042437719071599496,Train,3.0
345,NeighborHoodClassifier,0.47,0.5364,0.00958331884056876,Test,3.0
346,AdaBoostClassifier,0.47,0.5711999999999999,0.03390811112403636,Train,3.0
347,AdaBoostClassifier,0.47,0.5492000000000001,0.0782467890715012,Test,3.0
