,decision_tree,adaboost,samba,random_forest,random_scm,scm
metabolomics_bleuets-ID_6044,0.0,0.0,0.0,0.0025329607646758096,0.0,0.0
metabolomics_bleuets-ID_3109,0.0,0.0,0.0,0.0025111607142857136,0.0,0.0
metabolomics_bleuets-ID_8719,0.0,0.0,0.0,0.002496351582162668,0.0,0.0
metabolomics_bleuets-ID_8660,0.0,0.0,0.0,0.0024914356898162564,0.0,0.0
metabolomics_bleuets-ID_1048,0.0,0.0,0.0,0.0024836057624963645,0.0,0.0
metabolomics_bleuets-ID_2339,0.0,0.0,0.0,0.0024800336275746103,0.0,0.0
metabolomics_bleuets-ID_570,0.0,0.0,0.0,0.0024755876742005357,0.0,0.0
metabolomics_bleuets-ID_16417,0.0,0.0,0.0,0.0024739602805964505,0.0,0.0
metabolomics_bleuets-ID_15071,0.0,0.0,0.0,0.002447889622431569,0.0,0.0
metabolomics_bleuets-ID_5139,0.0,0.0,0.0,0.0024215349079232903,0.0,0.0
metabolomics_bleuets-ID_11276,0.0,0.0,0.0,0.0024149541390920686,0.0,0.0
metabolomics_bleuets-ID_5737,0.0,0.0,0.0,0.002401969615084371,0.0,0.0
metabolomics_bleuets-ID_9700,0.0,0.0,0.0,0.0023993658671078015,0.0,0.0
metabolomics_bleuets-ID_5335,0.0,0.0,0.0,0.0023966771396612997,0.0,0.0
metabolomics_bleuets-ID_9044,0.0,0.0,0.0,0.0023582974402646534,0.0,0.0
metabolomics_bleuets-ID_4762,0.0,0.0,0.0,0.002350806483986733,0.0,0.0
metabolomics_bleuets-ID_2584,0.0,0.0,0.0,0.002327084680025857,0.0,0.0
metabolomics_bleuets-ID_7079,0.0,0.0,0.0,0.0023179945054945055,0.0,0.0
metabolomics_bleuets-ID_13756,0.0,0.0,0.0,0.002315410342166194,0.0,0.0
metabolomics_bleuets-ID_11299,0.0,0.0,0.0,0.002304327445631549,0.0,0.0
metabolomics_bleuets-ID_15828,0.0,0.0,0.0,0.00229165075242533,0.0,0.0
metabolomics_bleuets-ID_6564,0.0,0.0,0.0,0.0022816508218692923,0.0,0.0
metabolomics_bleuets-ID_10086,0.0,0.0,0.0,0.002278264721703636,0.0,0.0
metabolomics_bleuets-ID_4061,0.0,0.0,0.0,0.002252338232487114,0.0,0.0
metabolomics_bleuets-ID_13886,0.0,0.0,0.0,0.0022494055004135646,0.0,0.0
metabolomics_bleuets-ID_11232,0.0,0.0,0.0,0.0022445071625399517,0.0,0.0
metabolomics_bleuets-ID_15203,0.0,0.0,0.0,0.0022385022385022386,0.0,0.0
metabolomics_bleuets-ID_15195,0.0,0.0,0.0,0.002233577731408705,0.0,0.0
metabolomics_bleuets-ID_2987,0.0,0.0,0.0,0.002203178639542275,0.0,0.0
metabolomics_bleuets-ID_5696,0.0,0.0,0.0,0.002192829794639749,0.0,0.0
metabolomics_bleuets-ID_6969,0.0,0.0,0.0,0.0021628315470194064,0.0,0.0
metabolomics_bleuets-ID_3761,0.0,0.0,0.0,0.0021592442645074214,0.0,0.0
